sr,hr,skr,class_label,val
10.0,174.11,3.84,ant,0.05
9.53,32.47,9.05,helmet,0.08888888888888888
3.84,126.89,7.16,desk_lamp,0.02197802197802198
10.0,48.21,2.89,desk_lamp,0.02197802197802198
3.84,158.37,10.0,helmet,0.05555555555555556
4.32,142.63,8.11,bottle,0.04545454545454545
4.32,205.58,3.37,bench,0.018181818181818184
1.47,284.26,5.26,ant,0.05
9.53,16.74,5.26,acoustic_guitar,0.0
7.16,252.79,4.32,ant,0.05
9.53,16.74,1.47,bench,0.02727272727272728
10.0,142.63,6.21,desk_lamp,0.016483516483516484
7.16,268.53,8.58,ant,0.05
3.37,268.53,7.16,ant,0.05
5.26,32.47,2.42,desk_lamp,0.02197802197802198
3.84,158.37,10.0,bench,0.018181818181818184
5.26,63.95,8.11,bench,0.03636363636363637
5.74,142.63,4.79,desk_lamp,0.01098901098901099
1.95,111.16,8.58,bottle,0.05303030303030303
6.68,268.53,8.11,bottle,0.05303030303030303
4.79,95.42,7.16,bench,0.018181818181818184
1.95,1.0,1.95,ant,0.15
9.53,48.21,9.05,tv,0.04545454545454546
8.11,63.95,10.0,bottle,0.07575757575757576
9.05,126.89,6.68,ant,0.05
9.53,268.53,3.84,desk_lamp,0.01098901098901099
5.26,63.95,8.11,tv,0.04545454545454546
1.95,95.42,4.32,acoustic_guitar,0.0
4.79,48.21,1.0,bottle,0.05303030303030303
4.32,284.26,8.58,bottle,0.05303030303030303
10.0,221.32,4.32,ant,0.05
8.58,300.0,1.95,bench,0.018181818181818184
4.79,79.68,3.84,bench,0.018181818181818184
1.95,237.05,6.21,desk_lamp,0.01098901098901099
2.89,48.21,3.37,desk_lamp,0.02197802197802198
9.53,79.68,9.53,acoustic_guitar,0.0
2.89,284.26,9.05,tv,0.022727272727272724
3.84,237.05,3.37,bench,0.018181818181818184
4.32,268.53,8.58,acoustic_guitar,0.0
1.0,1.0,1.47,helmet,0.09999999999999999
9.05,48.21,4.32,tv,0.04545454545454546
8.58,1.0,8.11,acoustic_guitar,0.0
5.26,221.32,9.53,acoustic_guitar,0.0
8.58,268.53,5.74,acoustic_guitar,0.0
2.89,284.26,2.89,ant,0.05
5.26,142.63,4.79,bottle,0.05303030303030303
6.21,79.68,7.63,ant,0.1
4.32,111.16,4.79,ant,0.05
3.37,237.05,7.16,desk_lamp,0.01098901098901099
2.42,205.58,4.32,helmet,0.05555555555555556
2.42,142.63,1.95,bottle,0.05303030303030303
1.95,221.32,2.89,acoustic_guitar,0.0
6.68,174.11,1.95,bench,0.018181818181818184
6.68,48.21,1.0,bench,0.018181818181818184
3.84,95.42,7.16,ant,0.1
9.05,284.26,9.53,acoustic_guitar,0.0
5.74,79.68,6.21,bottle,0.05303030303030303
1.0,221.32,5.26,ant,0.05
4.32,237.05,7.63,helmet,0.05555555555555556
3.84,252.79,7.63,bench,0.018181818181818184
7.16,63.95,6.68,ant,0.1
10.0,268.53,7.16,tv,0.022727272727272724
6.68,252.79,10.0,ant,0.05
8.58,221.32,5.26,bench,0.018181818181818184
8.58,268.53,9.05,acoustic_guitar,0.0
10.0,1.0,6.21,ant,0.1
2.42,16.74,6.68,desk_lamp,0.07692307692307694
3.84,63.95,1.47,acoustic_guitar,0.0
8.58,48.21,5.26,ant,0.1
1.47,284.26,3.37,helmet,0.05555555555555556
4.79,63.95,6.21,ant,0.1
7.63,142.63,8.58,tv,0.03787878787878788
2.89,48.21,2.42,tv,0.030303030303030304
8.58,48.21,2.42,desk_lamp,0.02197802197802198
1.0,111.16,9.05,tv,0.04545454545454546
2.89,79.68,7.63,desk_lamp,0.03296703296703297
10.0,142.63,7.16,bench,0.018181818181818184
2.42,63.95,3.37,bottle,0.04545454545454545
1.95,79.68,9.53,bottle,0.06818181818181818
5.26,252.79,9.05,helmet,0.05555555555555556
8.58,205.58,5.26,helmet,0.05555555555555556
3.84,126.89,7.16,helmet,0.05555555555555556
3.84,221.32,1.0,ant,0.05
6.21,237.05,6.68,bench,0.018181818181818184
8.11,221.32,7.16,bench,0.018181818181818184
5.74,16.74,6.68,bottle,0.14393939393939395
8.58,158.37,1.95,acoustic_guitar,0.0
6.68,48.21,1.47,acoustic_guitar,0.0
3.37,237.05,7.16,acoustic_guitar,0.0
7.16,16.74,1.0,acoustic_guitar,0.0
2.89,1.0,8.11,tv,0.015151515151515152
2.89,189.84,8.58,helmet,0.05555555555555556
5.74,158.37,5.26,ant,0.05
9.53,126.89,6.21,tv,0.030303030303030304
9.05,79.68,1.47,bottle,0.05303030303030303
1.95,79.68,1.0,ant,0.05
1.47,142.63,5.26,ant,0.05
2.42,142.63,1.47,helmet,0.05555555555555556
5.26,284.26,4.79,bench,0.018181818181818184
8.58,252.79,8.11,ant,0.05
8.11,221.32,7.16,tv,0.022727272727272724
9.05,95.42,5.26,tv,0.03787878787878788
5.74,158.37,1.47,desk_lamp,0.01098901098901099
3.37,189.84,5.26,ant,0.05
9.53,174.11,5.26,ant,0.05
5.26,126.89,7.63,tv,0.03787878787878788
4.32,300.0,3.84,acoustic_guitar,0.0
9.53,16.74,2.42,bottle,0.10606060606060606
7.16,189.84,8.58,ant,0.05
3.37,300.0,9.53,ant,0.05
6.68,126.89,3.37,bottle,0.05303030303030303
3.37,189.84,1.47,desk_lamp,0.01098901098901099
3.84,1.0,2.42,bottle,0.18939393939393936
